numero|nomenclatura|longitud|latitud|tipo_gps|profundidad|fecha|orientacion|tipo_sustrato|facies|especies|observaciones
5|Farallones grande interior 1|-327789,578|4222251,472|topcom|22|2013-09-11|2|mixto arena/roca|10, 9|12(2), 3(2), 15(3), 24(2), 48(1)|ROV: video 6
6|Este del faro|-328605,082|4222679,435|topcom|6|2013-09-11|2|roca|9, 7|18(1), 15(3), 3(2), 25(2), 2(1), 12(1)|
7|Este del faro|-328564,104|4222879,968|topcom|10|2013-09-11|2|roca|9|12(2), 15(3), 3(3), 25(1), 9(1)|ROV: video 7
8|Este del faro|-328393,491|4223056,396|topcom|20|2013-09-11|2|roca|9, 5|15(3), 12(2), 3(2), 18(1), 46(1), 9(1), 27(1)|ROV: video 9
9|Tibouda 1|-328680,425|4220609,862|topcom|20|2013-09-12|2|detrítico|1|49(1)|
10|Tibouda 2|2º 57´05,7´´|35º 24´35,4´´|garmin|21|2013-09-12|2|arena|3||
11|Punta Mina|-328491,49|4218952,379|topcom|20|2013-09-13|2|roca|9|3(3), 15(3), 9(2), 24(2), 42(1), 33(2), 11(1), 50(1), 28(1), 30(1), 20(2), 51(1), 43(1), 45(1), 52(1), 53(1), 29(1), 35(1), 5(1), 13(1)|
12|Punta Mina|-328800,178|4219185,593|topcom|10|2013-09-13|2|roca|9|3(3), 9(2), 15(3), 11(2), 24(2), 51(1), 43(1), 20(2), 54(1), 31(1), 55(1), 6(1), 56(1), 17(1), 42(1), 2(1), 12(1), 57(1), 33(1), 58(1), 22(1), 25(1), 7(1), 5(1)|
13|Punta Mina|ver observaciones|ver observaciones|ver observaciones|5|2013-09-13|1|roca|9|8(3), 20(3), 12(1), 28(2), 11(1), 17(1), 3(2), 25(1), 4(1), 9(2), 15(2), 29(1), 50(1), 51(1)|Interpolar coordenadas a partir del punto de 10 m (punto nº 12), hacia tierra.
14|Tibouda 3|2º 57´17,4´´|35º 24´54,7´´|garmin|18|2013-09-13|2|arena |3|59(1)|
15|Tibouda 4|2º 57´01,1´´|35º 25´08,1´´|garmin|21|2013-09-13|2|arena|3|60(2), 61(1)|
16|Tibouda 5|2º 57´31,1´´|35º 25´01,6´´|garmin|10|2013-09-13|2|arena|3||
17|Tibouda 6|2º 57´28,6´´|35º 24´29,4´´|garmin|10|2013-09-13|2|arena|3||
18|Tibouda 7|2º 57´30,4´´|35º 24´20,1´´|garmin|10|2013-09-13|2|mixto arena/roca|9|15(3), 3(3), 9(1), 12(1)|
19|Tibouda 8|2º 57´31,9´´|35º 24´18,7´´|garmin|5|2013-09-13|2|roca|9, 7|18(1), 25(2), 15(3), 3(2), 12(1), 9(1)|
20|Tibouda 9|2º 57´24,6´´|35º 25´09,9´´|garmin|5|2013-09-10|2|roca|9, 7|3(3), 15(3), 18(1), 12(1), 25(2), 2(2), 4(1)|
21|Tibouda 10|2º 56´50,6´´|35º 24´48,0´´|garmin|30|2013-09-13|2|arena|3||ROV: video 10
22|Tibouda 11|2º 56´54,3´´|35º 24´17,0´´|garmin|29|2013-09-13|2|mixto detrítico/roca|9, 3|3(2), 15(2)|ROV: video 11
23|Pradera Charrana 1|3º 00.751|35º 23.503 |garmin|9|2012-09-03|2|arena |6|62(3)|Area pradera: 25 x 20 m. Densidad de haces/m2: 200,8 ± 55,54
24|Pradera Charrana 2|3º 00.627 |35º 23.803 |garmin|9|2012-09-04|2|arena |6|62(3)|Area pradera: 35 x 25 m. Densidad de haces/m2: 244 ± 116,64
25|Charrana 1|-335759,763|4217162,735|topcom|20|2013-09-14|2|arena|3|59(1)|
26|Charrana 2|-335523,807|4218652,959|topcom|20|2013-09-14|2|arena|3||
27|Charrana 3|-335109,641|4218626,377|topcom|10|2013-09-14|2|roca|7, 10|12(3), 15(2), 25(2), 9(2), 20(3), 24(2), 4(1), 33(1), 50(1), 2(2), 28(1), 63(1), 58(1), 31(1), 6(1), 19(1), 23(1), 45(1), 64(1), 30(1), 18(1), 65(1), 71(1)|
28|Charrana 4|ver observaciones|ver observaciones|ver observaciones|5|2013-09-14|2|roca|9|15(3), 3(2), 25(2), 12(1), 9(2), 66(1), 4(1), 67(1), 18(1), 47(2), 68(1), 24(1), 30(1), 50(1), 69(1)|Interpolar coordenadas a partir del punto de 10 m (punto nº 27), hacia tierra.
29|Charrana 5|-335056,639|4218242,623|topcom|10|2013-09-14|2|roca|9, 10|12(3), 15(3), 20(2), 25(2), 9(2), 18(1), 29(1), 24(1), 11(2), 4(1)|
30|Charrana 6|-335018,74|4218299,099|topcom|5|2013-09-14|2|roca|9, 7|15(3), 25(2), 20(2), 24(2), 47(1), 9(2), 2(1), 4(1), 63(1), 28(1)|
31|Charrana 7|-334796,599|4220272,831|topcom|20|2013-09-14|2|mixto arena/roca|8, 10|12(3), 66(3), 81 (2), 15(2), 71(2), 20(3), 9(1), 33(1), 3(1), 70(1)|
32|Charrana 8|-334438,582|4219931,967|topcom|10|2013-09-14|2|roca|8|66(3), 71(3), 52(1), 3(2), 9(2), 25(2), 1(1), 20(2), 51(1), 5(1), 2(1), 18(1), 30(1), 63(1), 6(1), 12(1), 15(2), 72(1), 24(1), 73(1), 33(1), 28(1), 29(1), 17(1), 45(1), 22(1), 50(1), 75(1), 74(1), 70(1), 58(1), 76(1)|
33|Charrana 9|ver observaciones|ver observaciones|ver observaciones|5|2013-09-14|2|roca|8, 9|66(3), 15(3), 3(2), 9(1), 12(1), 29(1), 28(1), 77(1), 20(2), 25(2), 65(1), 4(1), 24(1), 50(1), 58(1), 2(1), 67(1), 47(1), 1(1), 33(1), 52(1), 30(1)|Interpolar coordenadas a partir del punto de 10 m (punto nº 32), hacia tierra.
34|Charrana 10|-333884,278|4220705,675|topcom|10|2013-09-14|2|arena|6|62(3)|
35|Charrana 11|-333724,551|4220629,613|topcom|5|2013-09-14|2|roca|7|15(2), 66(2), 20(3), 25(3), 9(1), 24(1), 2(1), 12(1), 3(2), 1(1), 28(1), 4(1)|
36|Charrana 12|3º 00´44.4´´|35º 23´29,0´´|garmin|10|2012-09-05|2|arena|3||
